wdidx, widx
32, 1593
32, 2114
32, 2578
32, 2692
32, 2692
32, 2692
32, 2692
32, 2692
32, 2904
32, 3184
32, 3223
32, 3331
32, 3442
32, 3677
32, 3709
32, 3813
32, 4098
32, 4176
32, 4324
32, 4401
32, 4856
32, 5389
32, 5492
32, 6536
33, 802
33, 802
33, 802
33, 802
33, 913
33, 1031
33, 1031
33, 1192
33, 1269
33, 1475
33, 1560
33, 2142
33, 2286
33, 2671
33, 2672
33, 2672
33, 2672
33, 2672
33, 2672
33, 2672
33, 3256
33, 3576
33, 4114
33, 4261
33, 4534
33, 4534
33, 4717
33, 5153
33, 5154
33, 5171
33, 6362
33, 6730
33, 6730
34, 978
34, 1300
34, 1712
34, 1712
34, 1930
34, 2116
34, 2183
34, 2258
34, 2432
34, 3090
34, 3091
34, 3091
34, 3876
34, 3877
34, 3877
34, 3877
34, 3877
34, 3877
34, 3877
34, 4753
34, 4753
34, 4753
34, 4932
34, 5144
34, 5145
34, 5145
34, 5490
34, 5506
34, 5510
34, 5510
34, 5510
34, 5510
34, 5510
34, 5510
34, 5642
34, 5708
34, 5752
34, 6075
34, 6077
34, 6077
34, 6077
34, 6077
34, 6077
34, 6178
34, 6193
34, 6251
34, 6254
34, 6254
34, 6254
34, 6413
34, 6413
34, 6594
35, 44
35, 429
35, 504
35, 893
35, 1753
35, 1755
35, 2007
35, 2055
35, 2081
35, 2092
35, 2234
35, 2242
35, 2250
35, 2643
35, 2643
35, 3062
35, 3287
35, 3287
35, 3287
35, 3287
35, 3287
35, 3288
35, 3288
35, 3385
35, 3385
35, 3385
35, 3385
35, 3385
35, 3385
35, 3385
35, 3644
35, 3784
35, 4361
35, 4361
35, 4361
35, 4643
35, 4756
35, 5329
35, 5330
35, 5330
35, 5464
35, 5806
35, 5872
35, 5872
36, 300
36, 300
36, 507
36, 537
36, 537
36, 630
36, 1371
36, 1372
36, 1382
36, 1422
36, 1422
36, 1489
36, 1490
36, 1529
36, 1560
36, 1563
36, 1897
36, 2052
36, 2144
36, 2418
36, 2418
36, 2422
36, 2581
36, 2581
36, 3224
36, 3355
36, 3402
36, 3449
36, 3469
36, 3469
36, 3555
36, 3605
36, 3851
36, 3861
36, 4292
36, 5142
36, 5388
36, 5388
36, 5388
36, 5389
36, 5464
36, 5468
36, 5468
36, 5584
36, 5584
36, 5585
36, 6507
36, 6536
36, 6537
36, 6537
36, 6537
36, 6609
36, 6721
36, 6721
36, 6728
37, 514
37, 1560
37, 1753
37, 2219
37, 2321
37, 2365
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3310
37, 3671
37, 3671
37, 3673
37, 3814
37, 4212
37, 4905
37, 4997
37, 4997
37, 4997
37, 5002
37, 5004
37, 5005
37, 5005
37, 5113
37, 5438
37, 5438
37, 5894
37, 6443
37, 6447
37, 6447
37, 6721
37, 6728
37, 6728
37, 6728
37, 6728
37, 6728
37, 6728
37, 6728
37, 6728
38, 139
38, 223
38, 371
38, 401
38, 492
38, 492
38, 497
38, 497
38, 500
38, 644
38, 648
38, 1027
38, 1027
38, 1027
38, 1027
38, 1030
38, 1071
38, 1196
38, 1292
38, 1321
38, 1369
38, 1370
38, 1560
38, 1999
38, 2305
38, 2305
38, 2623
38, 2968
38, 2975
38, 2975
38, 3135
38, 3170
38, 3170
38, 3170
38, 3195
38, 3351
38, 3474
38, 3474
38, 3793
38, 3793
38, 3803
38, 3861
38, 3861
38, 3867
38, 3867
38, 3920
38, 3924
38, 4240
38, 4367
38, 4563
38, 4571
38, 4571
38, 4668
38, 4759
38, 4786
38, 4966
38, 4992
38, 5200
38, 5200
38, 5492
38, 5492
38, 5528
38, 5528
38, 5872
38, 5872
38, 5890
38, 5926
38, 5926
38, 5926
38, 5938
38, 5938
38, 6071
38, 6177
38, 6220
38, 6221
38, 6221
38, 6332
38, 6576
38, 6576
38, 6721
38, 6721
38, 6721
38, 6730
38, 6730
39, 310
39, 310
39, 387
39, 828
39, 828
39, 828
39, 836
39, 836
39, 836
39, 843
39, 1405
39, 1560
39, 1838
39, 1838
39, 1838
39, 1838
39, 1975
39, 2296
39, 2881
39, 2881
39, 3192
39, 3247
39, 3604
39, 3604
39, 3604
39, 3924
39, 3924
39, 3931
39, 3931
39, 3931
39, 3931
39, 4264
39, 4501
39, 4979
39, 5111
39, 5451
39, 5464
39, 5732
39, 6215
39, 6215
39, 6404
39, 6572
39, 6721
40, 87
40, 98
40, 292
40, 802
40, 885
40, 1422
40, 1813
40, 1860
40, 2066
40, 2252
40, 2252
40, 2454
40, 2518
40, 2622
40, 2622
40, 2622
40, 2622
40, 2701
40, 2959
40, 3080
40, 3080
40, 3084
40, 3084
40, 3084
40, 3084
40, 3084
40, 3118
40, 3551
40, 3816
40, 3934
40, 4276
40, 4383
40, 4383
40, 4954
40, 5195
40, 5195
40, 5199
40, 5503
40, 5523
40, 5702
40, 5721
40, 6082
40, 6082
40, 6120
40, 6272
40, 6272
40, 6272
40, 6272
40, 6272
40, 6272
40, 6272
40, 6272
40, 6273
40, 6313
40, 6680
40, 6680
40, 6680
40, 6680
40, 6680
40, 6712
41, 310
41, 310
41, 444
41, 1405
41, 1540
41, 1540
41, 1540
41, 1540
41, 1540
41, 1540
41, 1540
41, 1540
41, 1540
41, 1541
41, 1541
41, 2094
41, 2236
41, 2518
41, 2945
41, 2945
41, 3204
41, 3204
41, 3205
41, 3205
41, 3205
41, 3604
41, 3654
41, 3671
41, 4616
41, 5427
41, 6116
41, 6389
41, 6594
42, 25
42, 25
42, 25
42, 25
42, 25
42, 25
42, 25
42, 25
42, 25
42, 124
42, 124
42, 124
42, 124
42, 124
42, 124
42, 124
42, 492
42, 492
42, 497
42, 497
42, 844
42, 1027
42, 1327
42, 1367
42, 1367
42, 1367
42, 1367
42, 1529
42, 1798
42, 2309
42, 2458
42, 2615
42, 2844
42, 2856
42, 2978
42, 2983
42, 3018
42, 3170
42, 3170
42, 3644
42, 3799
42, 3922
42, 4557
42, 4738
42, 5018
42, 5200
42, 5205
42, 5457
42, 5612
42, 5733
42, 5890
42, 5890
42, 5890
42, 5890
42, 5890
42, 5890
42, 6433
42, 6508
43, 9
43, 11
43, 136
43, 541
43, 541
43, 541
43, 541
43, 541
43, 541
43, 542
43, 1217
43, 1308
43, 1811
43, 1924
43, 1924
43, 1924
43, 1970
43, 2243
43, 2392
43, 2614
43, 3192
43, 3254
43, 3552
43, 3789
43, 4632
43, 4795
43, 5088
43, 5588
43, 5865
43, 5866
43, 5866
43, 5978
43, 6137
43, 6232
43, 6594
43, 6603
43, 6730
44, 62
44, 577
44, 1096
44, 1705
44, 2614
44, 3136
44, 5242
44, 5634
44, 5933
44, 6721
44, 6721
45, 1266
45, 1330
45, 1560
45, 2077
45, 2080
45, 2081
45, 2081
45, 3121
45, 3812
45, 3814
45, 5088
45, 5225
45, 5229
45, 6153
45, 6443
45, 6726
45, 6728
46, 72
46, 424
46, 825
46, 836
46, 1440
46, 1450
46, 1712
46, 2782
46, 2876
46, 2939
46, 2939
46, 3157
46, 3157
46, 3331
46, 3331
46, 3331
46, 3331
46, 3469
46, 3469
46, 3469
46, 3781
46, 3781
46, 3781
46, 3781
46, 3861
46, 4235
46, 4686
46, 5225
46, 5274
46, 5450
46, 5471
46, 5471
46, 5490
46, 6594
46, 6594
46, 6594
47, 63
47, 63
47, 118
47, 775
47, 794
47, 2418
47, 2536
47, 3137
47, 3227
47, 3857
47, 3857
47, 3857
47, 3857
47, 3857
47, 3858
47, 3858
47, 4648
47, 5524
47, 6205
48, 1366
48, 1366
48, 1764
48, 1930
48, 2183
48, 2279
48, 2279
48, 2279
48, 2279
48, 2282
48, 2282
48, 2282
48, 2282
48, 2674
48, 3488
48, 3922
48, 4886
48, 4886
48, 4886
48, 4886
48, 4886
48, 4886
48, 4886
48, 5342
48, 5342
48, 5342
48, 5342
48, 5344
48, 5344
48, 5715
48, 5926
48, 6478
48, 6609
49, 142
49, 3101
49, 3277
49, 3861
49, 3861
49, 3861
49, 3861
49, 3876
