wdidx, widx
141, 1231
142, 3362
142, 3444
142, 1824
142, 6615
142, 2695
142, 5709
142, 75
143, 5789
143, 3448
143, 3307
143, 3445
143, 3307
143, 2805
143, 3961
143, 4403
144, 3924
144, 844
144, 1124
144, 1712
145, 1414
145, 1414
145, 3866
145, 4301
145, 1720
145, 5693
145, 5492
145, 1148
145, 5492
145, 2641
146, 2361
146, 6015
146, 3809
146, 1330
146, 3275
147, 1426
147, 6349
147, 4932
147, 1718
147, 6035
147, 3583
147, 6536
147, 1426
147, 5068
147, 4238
148, 1666
148, 5200
148, 492
148, 5523
148, 5557
148, 497
148, 6389
148, 5523
149, 6605
149, 555
149, 4696
149, 5734
150, 250
150, 2577
150, 6728
150, 3310
150, 250
150, 250
150, 6728
150, 602
150, 2139
151, 1961
151, 6139
151, 3750
151, 6139
151, 3246
151, 3750
151, 3403
151, 3750
151, 6268
151, 3385
151, 4966
152, 5703
152, 4519
152, 5508
152, 4948
152, 4981
152, 1674
152, 5704
153, 2079
153, 2011
153, 2080
153, 6728
153, 5544
153, 5925
153, 2465
153, 6728
153, 2013
153, 3307
153, 6728
154, 5693
154, 5846
154, 5846
154, 1441
154, 5693
154, 5611
154, 3861
155, 1812
155, 5064
155, 3487
155, 3876
155, 6019
155, 3918
155, 6642
155, 1808
156, 4400
156, 828
156, 6594
156, 4400
157, 4106
157, 5628
157, 5014
157, 527
157, 527
158, 4580
158, 258
158, 2166
158, 477
159, 5142
159, 2243
159, 5137
159, 5137
159, 4403
159, 1289
160, 5806
160, 3366
160, 3366
160, 3861
160, 4605
160, 6381
161, 3816
161, 4098
161, 6594
161, 5370
161, 1560
161, 2290
161, 6515
162, 4240
162, 2429
162, 3711
163, 5199
163, 3861
164, 1072
164, 5088
164, 1082
164, 3080
164, 126
164, 427
165, 1586
165, 4086
165, 3536
165, 6594
165, 6585
166, 4400
166, 5490
166, 1246
166, 3784
166, 2918
166, 1122
166, 1136
166, 3861
166, 3580
167, 139
