Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
55,6,26,26,1
55,-33,-7,60,2
-35,36,-2,64,2
-40,-69,15,21,1
14,19,15,83,1
-9,-83,26,21,1
49,14,-7,26,1
-9,-42,-7,18,2
-6,-50,-7,62,2
46,11,26,91,2
-20,-31,-18,18,2
-14,-8,-18,83,1
-46,-61,-7,43,1
-9,-72,37,72,2
-3,-58,9,21,1
9,-14,-18,18,2
20,-19,-13,18,2
-35,-22,-2,13,1
3,-14,-2,48,2
3,-31,-7,83,1
-32,6,-18,34,1
17,11,-2,83,1
-23,8,-7,48,2
-14,-44,31,13,2
23,3,-13,85,1
0,-36,-13,18,2
0,36,-2,83,1
9,6,15,48,2
46,-25,-2,32,2
23,-36,31,62,1
-12,-56,20,21,1
-43,-6,20,53,2
-9,6,26,13,2
-9,17,4,48,2
-38,-39,4,13,1
52,-31,9,62,1
23,33,-7,83,1
-29,-8,4,84,2
-12,3,20,43,2
-14,-33,20,13,2
58,0,-13,47,1
-38,-61,31,13,2
58,-3,4,26,1
14,25,26,13,2
-3,-6,15,48,2
-43,-69,9,43,1
35,-17,-18,18,2
58,0,31,13,2
35,31,9,91,2
-26,-56,4,21,1
9,-47,26,21,1
29,31,26,13,2
-6,-89,4,37,2
17,-11,26,13,2
38,36,37,26,1
38,-39,-7,18,2
55,-44,-7,62,1
52,-56,4,62,1
14,-56,-7,62,2
-26,19,20,13,1
26,28,-7,83,1
-29,47,15,13,1
12,11,15,48,2
17,36,-2,83,1
17,22,-2,83,1
-20,-64,9,21,1
20,-6,4,48,2
-20,-25,31,13,2
9,17,-13,83,1
43,-47,15,62,1
12,42,37,83,2
1,2,3,7,2
1,2,3,7,2
1,2,3,7,2
4,3,2,7,2
-34,-20,56,27,2
34,-20,56,14,2
-32,-34,44,99,2
32,-34,44,71,2
-20,-56,-28,99,1
26,-54,-28,99,1
-22,-8,4,71,1
22,-8,4,71,1
-8,-30,8,39,1
14,-24,8,71,1
-32,-40,56,99,2
32,-60,52,79,2
6,-4,52,14,1
-36,-30,56,79,1
32,-18,56,14,2
-32,-34,44,99,2
32,-34,44,71,2
-20,-56,-28,99,1
12,-56,-20,99,1
-22,-8,4,71,1
22,-8,4,71,1
-18,-10,4,71,1
14,-22,8,71,1
-30,-54,56,79,2
14,-68,56,79,2
4,-6,56,27,1
54,2,24,52,1
-2,-24,-12,39,1
22,-10,52,71,2
20,-10,52,14,1
16,-20,64,14,1
-12,-10,64,14,1
-32,-26,56,14,1
-4,-8,44,14,1
18,-62,-20,99,1
40,-20,52,71,2
2,-8,40,27,1
-6,-64,-16,99,1
8,-90,-28,30,2
30,-26,40,71,2
-54,-10,32,99,2
-34,-22,52,99,2
40,-20,52,14,2
10,-2,36,39,1
-4,-64,-16,99,1
8,-60,-24,99,1
-28,-38,40,99,2
36,-38,44,71,2
-16,-20,48,79,1
24,-16,48,14,2
-22,-14,4,71,1
58,6,16,52,1
-36,-22,52,99,2
40,-20,52,14,2
-30,-26,40,99,2
30,-26,40,71,2
-16,-20,48,79,1
24,-16,48,71,2
-16,-54,-20,99,1
26,-56,-28,99,1
-16,-18,8,71,1
-20,-6,4,71,1
24,-16,8,71,1
58,4,16,52,1
14,-6,48,79,1
22,-10,44,71,2
-49,8,30,73,2
-38,15,30,15,1
-38,15,30,15,1
-38,15,30,15,1
-45,4,30,15,1
-45,4,30,15,1
-45,4,30,15,1
38,15,23,86,1
38,15,23,2,1
38,15,23,2,1
-41,30,8,2,2
-41,30,8,15,2
-41,30,8,2,2
-38,8,34,64,2
-38,8,34,64,2
-38,8,34,40,1
-4,38,34,12,1
-4,38,34,35,2
-4,38,34,11,2
